2016-09-10 17:04:05,475|Exode.Core|INFO|Here we go!
2016-09-10 17:04:15,446|Exode.Core|CORE|Searching for a board...
2016-09-10 17:04:15,449|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:04:17,710|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:05:15,355|Exode.Core|CORE|Searching for a board...
2016-09-10 17:05:15,356|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:05:17,611|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:05:54,106|Exode.Core|CORE|Searching for a board...
2016-09-10 17:05:54,106|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:05:56,363|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:06:50,691|Exode.Core|CORE|Searching for a board...
2016-09-10 17:06:50,692|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:06:52,951|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:07:04,326|Exode.Core|CORE|Searching for a board...
2016-09-10 17:07:04,327|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:07:06,585|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:07:35,794|Exode.Core|CORE|Searching for a board...
2016-09-10 17:07:35,796|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:07:38,055|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:09:54,989|Exode.Core|CORE|Searching for a board...
2016-09-10 17:09:54,991|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:09:57,247|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:10:33,003|Exode.Core|CORE|Searching for a board...
2016-09-10 17:10:33,004|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:10:35,263|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
2016-09-10 17:10:40,499|Exode.Core|CORE|Searching for a board...
2016-09-10 17:10:40,500|Exode.Core|CORE|Try to connect to :/dev/cu.Bluetooth-Incoming-Port
2016-09-10 17:10:42,757|Exode.Core|CORE|/dev/cu.Bluetooth-Incoming-Port answered [0, 0]
